Product_Name|Product_Varietal|Product_Origin|Product_Price|Product_Attributes|User_Avg_Rating|User_Rating_Count|Product_Vintage|Critical_Avg_Rating|Critical_Rating_Count|Appellation_Level
Poggio al Tesoro Mediterra |Other Red Blends|Tuscany, Italy|30.99|Red Wine|3.8|38|2020|92.66666666666667|3|2
L'Ecole  Estate Merlot |Merlot|Walla Walla Valley, Columbia Valley, Washington, United States|39.99|Red Wine|0.0|0|2019|91.2|5|4
Eden Rift Estate Chardonnay |Chardonnay|Cienega Valley, Central Coast, California, United States|41.99|White Wine|4.7|40|2017|91.25|4|4
Schiavenza Barolo Prapo |Nebbiolo|Barolo, Piedmont, Italy|77.99|Red Wine|0.0|0|2017|93.2|5|3
Fess Parker Pommard Clone Pinot Noir |Pinot Noir|Sta. Rita Hills, Santa Barbara, Central Coast, California, United States|59.99|Red Wine|0.0|0|2019|92.2|5|5
Lavau Gigondas |Rhone Red Blends|Gigondas, Rhone, France|28.99|Red Wine|3.7|32|2018|91.0|3|3
Felsina Berardenga Chianti Classico (ML Half-bottle) |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|18.99|Red Wine|0.0|0|2019|91.6|5|4
Susana Balbo Signature Malbec |Malbec|Uco Valley, Mendoza, Argentina|24.99|Red Wine|4.0|190|2019|92.66666666666667|3|3
Best's Great Western Bin No  Shiraz |Syrah/Shiraz|Victoria, Australia|59.99|Red Wine|0.0|0|2019|94.66666666666667|3|2
Schug Sonoma Coast Pinot Noir |Pinot Noir|Sonoma Coast, Sonoma County, California, United States|32.99|Red Wine|4.0|97|2021|91.25|4|4
Inglenook Cabernet Sauvignon (. Liter Magnum) |Cabernet Sauvignon|Rutherford, Napa Valley, California, United States|199.99|Red Wine|0.0|0|2018|93.2|5|4
Rodney Strong Brothers Vineyard Cabernet Sauvignon |Cabernet Sauvignon|Alexander Valley, Sonoma County, California, United States|99.99|Red Wine|4.2|10|2016|92.66666666666667|3|4
Bodegas Avancia Old Vines Mencia |Mencia|Valdeorras, Spain|40.99|Red Wine|0.0|0|2020|91.25|4|2
Ironstone Reserve Cabernet Franc |Cabernet Franc|Sierra Foothills, California, United States|30.99|Red Wine|0.0|0|2020|90.33333333333333|3|3
Domaine de la Janasse Cotes du Rhone Cuvee Les Garrigues |Grenache|Cotes du Rhone, Rhone, France|50.99|Red Wine|4.0|14|2017|91.66666666666667|3|3
Two Angels Sauvignon Blanc |Sauvignon Blanc|High Valley, Lake County, North Coast, California, United States|25.99|White Wine|4.0|21|2020|91.0|3|5
Bodegas Ramirez de la Piscina Gran Reserva |Tempranillo|Rioja, Spain|41.99|Red Wine|3.9|10|2014|93.25|4|2
Sierra Cantabria Crianza |Tempranillo|Rioja, Spain|24.99|Red Wine|4.0|8|2018|91.0|3|2
Tenuta Sette Ponti Vigna dell Impero |Sangiovese|Tuscany, Italy|115.99|Red Wine|4.5|11|2016|94.33333333333333|3|2
L'Ecole  Columbia Valley Syrah |Syrah/Shiraz|Columbia Valley, Washington, United States|30.99|Red Wine|4.2|18|2019|91.0|3|3
Marietta Cellars Angeli Estate Zinfandel |Zinfandel|Alexander Valley, Sonoma County, California, United States|42.99|Red Wine|4.4|8|2019|94.33333333333333|3|4
Bodegas Fillaboa Albarino Seleccion Finca Monte Alto |Albarino|Rias Baixas, Spain|33.99|White Wine|4.8|31|2019|90.66666666666667|3|2
Ferraton Pere & Fils Crozes-Hermitage La Matiniere |Syrah/Shiraz|Crozes-Hermitage, Rhone, France|36.99|Red Wine|2.7|6|2018|91.0|3|3
Bibbiano Montornello Chianti Classico Gran Selezione |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|55.99|Red Wine|0.0|0|2019|93.66666666666667|3|4
Jeff Cohn Cellars PureYum Red |Rhone Red Blends|Sonoma County, California, United States|49.99|Red Wine|0.0|0|2018|91.8|5|3
Jeff Cohn Cellars Smoke and Mirrors Red Blend |Other Red Blends|California, United States|27.99|Red Wine|0.0|0|2018|91.5|4|2
Argentiera Villa Donoratico Bolgheri |Bordeaux Red Blends|Bolgheri, Tuscany, Italy|48.99|Red Wine|4.9|25|2019|91.66666666666667|3|3
Alpha Estate Hedgehog Vineyard Xinomavro |Xinomavro|Macedonia, Greece|26.99|Red Wine|3.8|53|2019|92.25|4|2
Dashe Dry Creek Reserve Zinfandel |Zinfandel|Dry Creek Valley, Sonoma County, California, United States|35.99|Red Wine|3.7|40|2017|91.66666666666667|3|4
Patrimony Cabernet Sauvignon (. Liter Magnum) |Cabernet Sauvignon|Adelaida District, Paso Robles, Central Coast, California, United States|589.99|Red Wine|0.0|0|2019|98.66666666666667|3|5
King Palm Chardonnay |Chardonnay|Monterey, Central Coast, California, United States|25.99|White Wine|3.7|23|2019|90.66666666666667|3|4
Schug Carneros Pinot Noir (ML half-bottle) |Pinot Noir|Carneros, California, United States|19.99|Red Wine|0.0|0|2021|92.33333333333333|3|3
Waterbrook Reserve Cabernet Sauvignon |Cabernet Sauvignon|Columbia Valley, Washington, United States|22.99|Red Wine|0.0|0|2019|90.33333333333333|3|3
Fisher Vineyards Mountain Estate Cabernet Sauvignon |Cabernet Sauvignon|Sonoma County, California, United States|109.99|Red Wine|0.0|0|2016|94.0|3|3
Escarpment Martinborough Pinot Noir |Pinot Noir|Martinborough, New Zealand|45.99|Red Wine|0.0|0|2019|93.0|4|2
Delas Saint-Joseph Francois de Tournon |Syrah/Shiraz|Saint-Joseph, Rhone, France|51.99|Red Wine|0.0|0|2019|92.6|5|3
Bodegas Avancia Nobleza Old Vines Godello |Godello|Valdeorras, Spain|70.99|White Wine|0.0|0|2020|94.0|5|2
